epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,1884.22,0.67288,0.861,1.30797,0.03756,0.99974,0.99977,0.995,0.99361,0.20901,0.30941,0.84423,0.0061,0.000664,0.000664,0.000664
2,3978.54,0.2777,0.27725,0.84192,0.00382,0.99994,0.99992,0.995,0.99471,0.17732,0.2094,0.81359,0.00367,0.00127797,0.00127797,0.00127797
3,5939.45,0.23792,0.22866,0.82141,0.00276,1,0.99999,0.995,0.99472,0.18266,0.18907,0.81251,0.00178,0.00183914,0.00183914,0.00183914
4,8052.95,0.21764,0.20535,0.81257,0.00199,1,0.99997,0.995,0.99496,0.13859,0.16202,0.79441,0.00127,0.0017624,0.0017624,0.0017624
5,10007.8,0.19129,0.18336,0.8041,0.00167,0.99997,0.99997,0.995,0.99499,0.11862,0.14116,0.79099,0.00099,0.0016832,0.0016832,0.0016832
6,12050.8,0.18205,0.17352,0.80106,0.00137,0.99998,1,0.995,0.99499,0.11783,0.13476,0.78692,0.00081,0.001604,0.001604,0.001604
7,14126.2,0.17325,0.16154,0.79573,0.00121,0.99999,1,0.995,0.99499,0.11317,0.12421,0.7838,0.00067,0.0015248,0.0015248,0.0015248
8,16062.5,0.16422,0.15551,0.7938,0.0011,0.99999,1,0.995,0.995,0.10017,0.11451,0.78246,0.00077,0.0014456,0.0014456,0.0014456
9,18063.9,0.15199,0.14574,0.79313,0.00102,0.99999,1,0.995,0.995,0.09636,0.11347,0.78195,0.00063,0.0013664,0.0013664,0.0013664
10,20028.2,0.15245,0.14479,0.79113,0.00098,0.99997,1,0.995,0.995,0.10393,0.1113,0.78035,0.00048,0.0012872,0.0012872,0.0012872
11,22077.1,0.14568,0.13751,0.78987,0.00083,0.99996,1,0.995,0.995,0.11443,0.11166,0.78213,0.00086,0.001208,0.001208,0.001208
12,24065.5,0.13927,0.13215,0.78779,0.0008,0.99998,1,0.995,0.995,0.09222,0.1003,0.77784,0.00042,0.0011288,0.0011288,0.0011288
13,26485.7,0.13981,0.13183,0.7866,0.00081,0.99999,1,0.995,0.995,0.09039,0.09777,0.77566,0.00047,0.0010496,0.0010496,0.0010496
14,28498.1,0.13367,0.12666,0.78713,0.00075,0.99999,1,0.995,0.995,0.07712,0.0898,0.77541,0.00043,0.0009704,0.0009704,0.0009704
15,30459.8,0.12736,0.12193,0.78481,0.00072,1,1,0.995,0.995,0.07943,0.08658,0.77499,0.00039,0.0008912,0.0008912,0.0008912
16,32332,0.11377,0.11449,0.77631,0.00046,0.99999,1,0.995,0.995,0.08387,0.09376,0.77439,0.00042,0.000812,0.000812,0.000812
17,34180.5,0.10919,0.10912,0.77715,0.00043,0.99999,1,0.995,0.995,0.08148,0.08811,0.77311,0.00053,0.0007328,0.0007328,0.0007328
18,36100.9,0.10644,0.10647,0.77843,0.00038,1,1,0.995,0.995,0.07434,0.08188,0.77203,0.00031,0.0006536,0.0006536,0.0006536
19,37914.9,0.10276,0.10199,0.77815,0.00038,1,1,0.995,0.995,0.07417,0.08109,0.77231,0.00033,0.0005744,0.0005744,0.0005744
20,39807.7,0.09992,0.10093,0.77688,0.00038,0.99999,1,0.995,0.995,0.06716,0.07534,0.77112,0.0003,0.0004952,0.0004952,0.0004952
21,41667.6,0.09725,0.09718,0.77464,0.00034,0.99999,1,0.995,0.995,0.06677,0.07477,0.77044,0.00033,0.000416,0.000416,0.000416
22,43568.8,0.09409,0.0943,0.77547,0.00035,0.99999,1,0.995,0.995,0.06727,0.07434,0.7706,0.00025,0.0003368,0.0003368,0.0003368
23,45410.4,0.09116,0.09065,0.77427,0.00031,0.99999,1,0.995,0.995,0.06357,0.07158,0.77006,0.00025,0.0002576,0.0002576,0.0002576
24,47328.5,0.08843,0.08947,0.77392,0.00029,1,1,0.995,0.995,0.06362,0.07067,0.76952,0.00022,0.0001784,0.0001784,0.0001784
25,49150.3,0.08613,0.0872,0.77298,0.00031,1,1,0.995,0.995,0.05997,0.06795,0.76905,0.00023,9.92e-05,9.92e-05,9.92e-05
